fra	nnb
Il rejoignit ses collègues dans le bureau du directeur.	Mwaya sangana navaghala vavo omovisenge evyomulhikitere.
Suzanne a retiré son collier.	Suzana mwalusiryeho amaningitiwe.
Ça serait gâcher leurs talents.	Ikandivya inivisa oluhavwo lwabo.
Jules César, ce grand héros Romain, fut assassiné.	Yulia Cesar, muhereri mukulu owe roma, mwithwa.
Ces derniers temps avez-vous un sentiment de soif plus prononcé ?	Okoviro vino unawithe enyotha?
Vous serez tout à fait remis dans quelques jours.	Mukandisuvulivwa hano sesene.
Nous savons tous que les ours aiment le miel.	Thunasi ndeke ko esyosoro syanzire ovuki.
C'est assez impressionnant.	Kitsemesirye kundu.
Tu passes à côté.	Ukalava luhande.
C'est le garçon qui a lancé un avion de papier en direction de l'instituteur.	Akalwana kokalhyaghusa erisu eryakavave ryevwanga eyiri omukangirirya.
Sers le plat dans une assiette.	Theko lughalhe lomo kivo.
Garçons et filles devraient suivre des cours de cuisine à l'école.	Avalwana na vambesa vangakwama amakangirirya awerihuka wekiyiro.
Dépêchez-vous ! Il faut que je parte au plus tard à sept heures dix.	Anguha! Ritholhere inaghenda kumbe oko sahanguma namathondi kumi.
Il est juste associé d'affaires.	Nimughuma ghoko vahingania.
Ne rajoute surtout pas des figues de Barbarie aux figues fraîches ! Sinon, tu t'en repentiras !	Isighongerayako evighuma evye barbari okovighuma evyerire. Vithe vithya ighukandi vikula!
La façon de parler de Sakura me tape sur les nerfs.	Emivughire ya sakwa yamanyihikako.
Elle fait tourner les têtes.	Akathimbaya emithwe.
On attendait qu'il prenne une décision.	Thulwe thukalhinda imaye ekyamavyako.
Ayant écouté son discours, je cherche à comprendre ce qu'il tait.	Enyumasyeri hulhikirira, nganza eriminya ekyakahunira.
J'aimerais vérifier votre tension.	Nganza nyilhevaye etashio yaghe.
L'espéranto n'est la langue nationale de personne : il peut être la deuxième langue de chacun.	Ekiesperanto simuvughe wa mundu: Anganavya muvughe wakaviri okovulhi mundu.
Je respecte ton talent.	Ngashikaya oluhavwa lwaghu.
Il est difficile de trouver un emploi dans un secteur aussi bouché.	Kikalhire erisunga omuviri wahandu ahakingire.
Je ne disposais pas d'autre moyen de vous contacter alors je suis venue ici en personne.	Sihalwe esindi nzira esyonanga kusungiremo kikaheka inasa injuwene wene.
Lors d'une dispute, la différence entre un homme et une femme ressemble à celle entre un fusil et une mitrailleuse.	Omughulu oghovuhaka, ovughavaghavane omokathi komulume no mukali rilhingene ne mbubdu namage.
Je bouffe du néophyte.	Ngalhwa okoviswikire.
Le courageux gardien trouve amusant qu'avec la plupart des phrases à la troisième personne en espagnol, vous ayez six possibilités de les traduire en allemand.	Omutsungi oghomuhwa akalangira omo milondo minji oko mundu wakasathu omomuvughe okwe kiespagnole, unawithe amathoki ndathu erivindula omo ki Allemand.
Le désir contribue de moitié au plaisir.	Nganza nyilhethe omukekera waghe ghoo vutseme.
Je peux y aller à la condition de revenir avant 5 heures.	Nanganayo ongulhe kumbe unasuvula embere sye saha itanu.
À l'heure du courrier électronique, je suis tellement heureux quand un ami m'envoie une vraie lettre.	Okondambi eye nzakano, ngatsema kundu omughulu omundu akanyithumira enzakano eyekwenene.
C'est une merveilleuse opportunité.	Nikavanga kavuya.
L'amour est un feu qui, au cours des années, produit davantage de fumée que de chaleur.	Olwanzo nimulhero owaka lusaya hahwavinji omuki omomwanyenda.
Vous n'êtes pas censée être là-dedans.	Simuhangirwe erivyemwisi.
Permettez, Monsieur ?	Ulheke, mulwana.
C'est la voiture la plus rapide de notre hall d'exposition.	Yenguruvani eyikathivitha omosyosi esyothuwithe.
Il tenta de s'approcher d'elle en utilisant tous les moyens possibles.	Mwalhengeri seghera hakuhiraye erykolhesya esyonzira syosi.
Le temps est un grand maître ; le malheur, c'est qu'il tue ses élèves.	Endambi ni mughalhima mukulu; ekyovuhanza ryerivya, eyikitha avigha vayo.
Ouais, montre-nous tes f... phrases...	Inga, thukanganaye esyo f ... milondo...
Je lui ai envoyé une lettre pour lui faire savoir ma décision.	Mongamuthumira enzakano erimuminyisya ekyonyikwamire.
Que le spectacle continue !	visanda vyaghe evyanga lolhya emulhiro!
Tu l'as fait au vu et au su du personnel.	Ulhyakolheraya.
Attendez ici jusqu'à ce que je revienne !	Undinde hano erihika omughulu ngandiasa!
C'est un tel pauvre type !	Ninzama ithya.
Tu peux choisir n'importe quel livre que tu aimes.	Wanganansombola ekithavu ekyo ukendianza.
Je savais que je ne devais pas lui rendre visite, j'allai pourtant la voir.	Nyilwe nyinasi ngoko sinangayiri yamima, nikwa nangayiriya muvana.
Ben, tu sais, cette histoire, j'en n'ai rien à secouer.	Benganasi, amwabyoyo, singwitheko nakonangathatsingya.
Sami n'a pas pu prouver son alibi.	Samwelhi mwathitha kanjya ovwana vwiwe.
Ça va être génial.	Kikandyawana.
D'abord ils vous ignorent, ensuite ils vous raillent, ensuite ils vous combattent et enfin, vous gagnez.	Ekyerimbere, syakwasi nakandi akakuseka, neriyikuna okwiwe nokondulhya ukakinda.
A présent, j'en sais plus sur Arthur que ce que j'aurais réellement voulu savoir.	Hathya sinyasi kindu oko Arthur kulhenga evyonyilwe nganzire inaminya.
Cynthia peut calculer à une vitesse incroyable.	Cynthia angana handika luvaluva.
Cette petite histoire est trop simple pour tout expliquer.	Omwatsyoyo alwire eryowisya.
Je n’en reviens toujours pas que nous ayons gagné.	Sinyilwe nyilhengekenier thukakinda.
Mon bouclier et defence c'est toy, mon Seigneur Dieu, sur toy i'ay esperance, conduis moy en ce lieu.	Engavo yaghe ni Toy, omuhangiki waghe, oko toy hane eriyikethera, ndwalhe yo.
Maxime, chéri, j'ai peur !	Maxime, mwenzi waghe ngwiryo vuva!
Les articles pour messieurs sont vendus à l'étage.	Evithavu evya valumuna vikaghulhivawa omogolhofa.
Le pays était en effervescence au sujet de la question de la défense nationale.	Ekihugho kyavya ikine omo tsulhi tsulhi eye kivuchyo ekyengavo.
Vous m'avez promis que vous prendriez soin de Enzo.	Moghukanyi laghanira ngoko ukanditheya enzo.
Écoutez, s'il vous plaît.	Hulhikirira!
Un cessez-le-feu prit effet quelques heures plus tard.	Amalwa mwalwa kathambi kake.
Sami a caché le pistolet.	Samwelhi mwaka visembundu.
Sa décision de rester fût une surprise pour nous tous.	Erivugha athi akashighala mokyathushishirya.
""" Calchas se tait dix jours, sa pitié ne veut pas / révéler la victime et dicter son trépas. """	"“Calchas akahuna omoviro ikumi, ovughanyiri sivulhiho, mwimire omundu. """
Mathéo n'est pas un type sympa.	Matheo simukokya.
Ceci est un hôtel, pas un bordel.	Kino niluthere, sivisenge vyoluthetho.
J'ai demandé à mon instituteur ce que je devais faire ensuite.	Mongavulaya omukangirirya yomuviri ogherangasirisyakola.
Voici que s'avance l'immobilisme et, nous ne savons pas comment l'arrêter.	Ovuthaseghania vwavuno vunemuseghera, na sithwasi ngathwangingimania vothuthi.
Cette décision politique risque de plomber notre économie.	Omuhamboyo anganatsandya ovuthunde vwethu.
Vous croyez que ça en vaut la peine ? Je ne crois pas.	Ulla chengekanaya athi kyangavere kya ndundi? Sinyilhengekenie.
Si je te disais la vérité, tu serais surpris.	Namakuvwire kwenene, ighukandisangala.
Notre salut et notre perte sont en dedans de nous-mêmes.	Erilama ryethu neriherya ryethu vine emwisi syethu.
Il est inspecteur.	Nimukulu we kiyiro.
Toutes les vérités seraient bonnes à dire si on les disait ensemble.	Ekwenene yosi yangavere iyowene erivugha yangavughirwe ahaghuma.
Ne penses-tu pas que tu devrais doucement cesser cette activité à la limite de la criminalité ?	Sighulhengekenie ngoko wangalhekire erikola omuviryoyo oko mukiki ogho vwithi?
C'est exact !	Nikwenene!
David est à la maison.	David anieka.
Je te souhaite de bonnes vacances, pleines de bonnes choses et surtout le soleil !	Namakusunzira nduhuke mbuya, eyiswire mwevyowene nakalhenjyo eyirimo eryuva!
Elle a vu le tueur.	Mwakalangira omwithi.
On dit que dans ces parages est enterré un trésor.	Ambu hano hanathavire ovutheke.
Un jour, quand j'étais à l'école primaire, un gamin était harcelé, et ça me chamboulait tellement que j'ai explosé de colère.	Kirokoghuma, omughulu navya ekiyiro, omulwana mughuma mwakarwa iramokambithanta eri nokokika monavya nekinigha.
Comme à son habitude, Mike était en retard à la réunion cet après-midi.	Ngokoyirimitsye yiwe, nike mwatselhewa okolukuratho omo rithunji rya munavwire.
Il était droit debout.	Avya inyanimene.
N'ayez pas l'air si triste !	Sighu kwe obuliye.
L'ambulance a perdu le contrôle et a failli écraser un piéton.	Engumwani eyavalwere moyikasonda erilhyathira oyulwe omo visandu.
Vous aurez beau essayer, vous ne serez pas capables de finir cela en un jour.	Wanga pimire, siwendivugha ekyo kyomokiro kighuma.
Nous savons que tu as menti à Enzo.	Thunalwiri ithwaminya ngoko ulhyalhegha Enzo.
L'individu terrien se sent totalement impuissant face à de tels problèmes de dimension planétaire.	Omundu akayowa isyangathoka esyombanza esithovirye ekithaka.
Es-tu sûre d'avoir pris la bonne décision ?	Unasi ngoko wavirimia ekyerighenderako?
C'est si évident que l'on n'a pas besoin de preuves.	Kinalwiri kinyaminywa ngoko sithulayire okovyerilheveryako.
Demain je vais jeter un melon d'eau du toit d'un immeuble de cinq étages, juste pour le plaisir.	Omonja ngasyaghusa erithondi esyamaghetse ryokolhuthwe olwe mbimbano eye syogolhoja ithanu, nga satha.
Elle a promis de l'épouser.	Mwalagha athi akandisyamuthahia.
Je l'ai raconté à Guillaume, mais il ne m'a pas cru.	Mongakanirayakyo Guillaume, aliwe syethalhigha.
Je ne changerai pas la date de départ en retraite, mais pour partir, vous n'aurez votre taux plein qu'à 63 ans, de quoi vous plaigniez-vous?	Sinendivindula ekiro ekyerihongokamo alhiwe ekyerighendamo, ukandisyavya nolulhengo omomiaka makumi mukagha nisathu ukayikuna okoki?
Vous avez l'air d'un flic.	Ghulwiri wavya ngo mupolishi.
Transmettez mon meilleur souvenir à votre tante et à votre oncle.	Ukandi ramukia muyomba waghu nasongali waghu.
Sortez les détritus.	Mulusaye ebindu ebio.
Toutes les bonnes choses viennent d'en haut.	Evyosi evyowene vikalwa endatha.
Ma belle-mère ne manque jamais une occasion de me reprocher ma décision de monter ma propre boîte.	Maviala waghe syalhivula akavonga akerimbwiramo okovyongayisogha erikokothya ekithuva kyaghe.
Beaucoup d'entre eux ont fini par épouser leurs petites amies russes.	Avanji vamuvo movathahya aviravavo ave vu russi.
Le temps venait à manquer pour les Terriens tandis que leur environnement planétaire était en décomposition. Le voyage spatial devint une nécessité.	Endambiyavyayikavula oko vevithaka omughulu avivathimbireko vyavya vikahonda. Olughendo molwavya lwamughungo.
Je vous promets que vous ne serez pas déçue.	Ngakulayiraya ngoko siwendisweka.
Peter boit, et c'est la raison pour laquelle son nez est rouge.	Peter akanywa, kikalheka enindoyiwe iyavya ye ranji eye ngwindisi.
Qui est le commandant de ce navire ?	Oyukafuha eryathweri nindi ?
L'espion prit contact avec l'ennemi.	Omulhevya mwaya ekasyakula haghuma nenzighu.
Je ne peux pas tourner le cou parce que c'est très douloureux.	Sinangathokerithimbya evokya kusangwa vikaluma.
Est-ce que vous pourriez m'ajouter ?	Uneniwendi ngongeryako ?
On continue à faire les mêmes choses.	Thukalolaye mulhiro thuka kolevighumerera.
Je crois que cela mérite des félicitations.	Evyonivye rikangathira.
Tenez les enfants éloignés des couteaux.	Avana kumbe imwavatheka halhi okomihesano.
Ils continuèrent à chanter jusqu'à ce que vienne une équipe de secours.	Vakalolaye muliro vakimba erihika omughulu ekipya ekyavusavuke kikandyasa.
Vous auriez pu choisir celui-ci.	Wanga sombolhire oyu.
Puis-je vous ramener quelque chose ?	Nyinakulhethere kindu?
Le directeur a convoqué une réunion d'urgence du personnel.	Omulhikitere mwaka virikira olukuratho lwaho naho.
Dans ma mise en œuvre, la position de ce répertoire est relative au répertoire de travail, mais cela pourrait-être n'importe où, vraiment.	Omwikola ryaghe, oluhande olulhimo evyonangasonda lulwiri lwavya na vanwani no muviri, alhiwe ekyokangavere ahosi.
La pire chose que l'on puisse faire est de ne faire quelque chose qu'à moitié sérieusement.	Ekitsivu omovyosi evyothwangakolhire ryerikola omuviri oluhande.
Elles nous ont vus alors qu'elles étaient en train de descendre du train.	Movakalhu langira omughulu valhyavima omonguruvani.
Les claviers d'ordinateurs, surtout ceux au-dessus desquels les gens déjeunent, sont un des premiers foyers d'infections bactériennes. Les doigts servent ensuite de vecteur.	Ekisayi ekye kisangula, kitsivu evirye nolatha eyo avandu vakalhira, nikughuma kyoko mbimbano esirimo ovuhanya ovwe mikorombi. Eminwe yika walhikaya erilaghalaghanayo.
Un esprit universel est quelqu'un qui en connaît un paquet sur un tas de trucs.	Ekirimu kiomundu atitasi ebindu bingana nebio.
Pourquoi intentez-vous un procès à Dan?	Vusanaki mukakwamirira DAN?
Vous partez ?	Mukaghenda?
Les toilettes étaient dehors dans la cour.	Ama wc avyehihya omokkivugha.
Le voleur a utilisé un tournevis pour s'introduire dans la voiture.	Omukurungu mwaka kolhesaya okumano akakingula amaburo nerio amangira omonguruvani.
Il est revenu deux heures plus tard.	Mwakasa enyuma syamasaha viri.
Sa nouvelle copine a l'air très excitante, malheureusement elle est bête à manger du foin.	Omwirawiwe walhino ahahayire, ekyeriswekera syalhirya evithi.
Nous avons trouvé un pauvre petit chat dans la cour.	Mothukasunga ekivunu kyomo kivugha.
« Ne racontez donc pas de conneries ! », cria l'agriculteur.	“Sighukanaye ehymbu!” », kwanya lakiryatha omulhume.
Est-ce que vous ne comprenez pas cela ?	Sighuthowekyo?
Aimez vos ennemis.	Mwanze esyonzighu syenyu.
Ça me revient, j'ai cette phrase sur le bord des lèvres.	Vyamanzuvako, eningwavyo vinalwiri vyavya okominywa.
Je ne leur rends pas de services.	Sindivakolhera muviri.
Dans les rêves tourmentés de Marie, des Finlandais intrépides luttaient contre des ennemis fictifs et de faux amis imaginaires.	Omonzolhimbi sya Marie, Ava fenelonde vavyavaka thivitha okonzighusyavo esyovathasi navira avavya vathasi.
Mathis arrivera à 2h30 et Marie arrivera un peu plus tard.	Mathis akandyasa oko saha munani nemindi na Marie akandyasa enyuma yohangenya.
Les meilleurs biscuits que j'ai mangés jusqu'à présent sont ceux que ta mère m'a confectionnés.	Ovundu ovowene ovvwindalhya erihika hathya vavo nyinya wawe angokotheraya. Sikyamughunga iye eriminya.
Il n'est pas nécessaire qu'il sache.	Ngambe isyaminya.
Je ne suis pas d’accord avec ce que vous dites, mais je me battrai jusqu’à la mort pour que vous ayez le droit de le dire.	Sinyilhiyire evyo mukavugha, alhiwe ngandi lolhya emuliro erihika omughulu mukandivya nakavanga akerevugha.
Je parie qu'il va s'énerver.	Ngakuvavo ngoko akendihithana.
Il n'arrivera pas à l'heure à la rencontre.	Syalhihika luva okolukiratho.
Un officier de police a subi des blessures mineures.	Omukulu owava polishi mwakahuthala.
J'ai rencontré une amie tandis que j'attendais un bus.	Mongasangana omwira waghe omughulu nyilwe ngalhinde bishi.
Il me tourna le dos et se concentra sur son ordinateur.	Mwanyilolhya komughongo neryo mayitheka okokisengula kiwe.
Tony était à la porte.	Tony avya okoluyi.
Il faisait enfin face à son ennemi.	Vavya vakaghundulana nenzighuyiwe.
Enzo semble préoccupé du résultat du test d'anglais.	Enzo akavya ngaviri hangya hangya vusana nakapupa akekingeresa.
Malheureusement je ne gagne pas d'argent.	Ekyovuhanya sindisunga olubwele.
Elle est allée au musée d'art en taxi.	Mwayire eyirievisenge evirimoo evyakera yomonguruvani.
Un rêve est indispensable lorsqu'on veut concevoir le futur.	Esyonzolhi sikavya syamuhungo omughulu omundu akasonda eriverererya enjyakya.
Celui qui rate une occasion ne la retrouve jamais.	Oyukaheraya akavanga akavya syalhisyakwama.
Hugo était devenu le centre de l’attention des médias, les journalistes passaient leur temps à décortiquer tous ses faits et gestes.	Hugo mwavya omokathe akamalhengekania awevinimba, avathula ngulu vakayitheka okwikania oko malhegheko wiwe.
J'espère qu'on peut arranger ça.	Ngalhekekanaya thwanganakania.
Quand tu fais une émoticône juste avant une parenthèse fermante, on a l'impression qu'elle a un double menton.	Omughulu uka nyoma ekisasamira embere syekikwarari ekikachinga, kikavya ngakiwithe muviri munene.
Cet ordinateur est beaucoup plus rapide que mon ancien.	Ekisengula eki kyanguhire kulava ekyakera.
