fra	swc	swc_clean
Montre-moi ton visage, fais-moi entendre ta voix ; car ta voix est douce et charmant ton visage.	Nioneshe sura yako, nisikilizishe sauti yako, kwa sababu sauti yako ni nyororo na sura yako ni ya kupendeza.	Nioneshe sura yako, nisikilizishe sauti yako, kwa sababu sauti yako ni nyororo na sura yako ni ya kupendeza.
Mona Lisa a été peinte par Léonard de Vinci.	Mona Lisa alichorwa na Léonard de Vinci.	Mona Lisa alichorwa na Léonard de Vinci.
Je suppose que c'est différent quand vous y pensez à long terme.	Minazani ni tafauti ukiifiiria kwa muda mrefu.	Minazani ni tafauti ukiifiiria kwa muda mrefu.
Ça ressemble a une blague qui serait devenue réalité.	Inafanana utani yenye inaweza kuwa kweli.	Inafanana utani yenye inaweza kuwa kweli.
Respire le bonheur.	Pumua raha.	Pumua raha.
Il y avait trois ans que je le connaissais quand il est devenu mon beau-frère.	Inapita miaka tatu sasa tangu nilimujua wakati aligeuka shemeki yangu.	Inapita miaka tatu sasa tangu nilimujua wakati aligeuka shemeki yangu.
Emily a un grand sens de l'humour.	Emily ni mtu wa kuchekesha sana.	Emily ni mtu wa kuchekesha sana.
Vous avez dû laisser tomber votre téléphone dans votre hâte pour attraper le bus.	Inawezekana uliangusha telefone yako wakati ulikuwa mu haraka ya kukamata bisi.	Inawezekana uliangusha telefone yako wakati ulikuwa mu haraka ya kukamata bisi.
Nous partons immédiatement.	Tunaenda moja kwa moja	Tunaenda moja kwa moja
Tu ne te rends compte de la valeur d'une chose qu'après l'avoir perdue.	Mtu anajuwaka umuhimu ya kitu kisha kukipoteza.	Mtu anajuwaka umuhimu ya kitu kisha kukipoteza.
La femme se dirige vers une rencontre de sorcières.	Mwanamuke anaelekea kwenye mkutano ya wachawi.	Mwanamuke anaelekea kwenye mkutano ya wachawi.
Quel est le sport que tu aimes le plus regarder ?	Ni sport (mchezo) gani njo unapendaka angalia zaidi?	Ni sport gani njo unapendaka angalia zaidi?
Il est doté d'un talent incroyable.	Iko na kipaji ya ajabu.	Iko na kipaji ya ajabu.
Attendez qu'il revienne.	Ngoya arudie.	Ngoya arudie.
Vous êtes un enfant de l'univers, tout autant que les arbres et les étoiles ; vous avez le droit de vous trouver ici.	Uko mtoto wa ulimwengu, kama vile miti na nyota, uko na haki ya kukuwa hapa.	Uko mtoto wa ulimwengu, kama vile miti na nyota, uko na haki ya kukuwa hapa.
Tu te laisses trop dominer par tes émotions.	Unajiacha kutawaliwa sana na hisia (ma émotions) zako.	Unajiacha kutawaliwa sana na hisia zako.
Comment oses-tu virer un de mes chauffeurs?	Aye unasubutu kufukuza mumoja ya wa dereva wangu?	Aye unasubutu kufukuza mumoja ya wa dereva wangu?
Vous êtes absolument sûre ?	Uko na uhakika kabisa?	Uko na uhakika kabisa?
Ne passez jamais devant un Ecclésiastique que vous ne lui fassiez la révérence, si pauvre et si mal vêtu qu'il puisse être.	Usijaribu ata siku moja kupita mbele ya mchungaji bila kumupatia heshima zake, hata kama anavala mubaya.	Usijaribu ata siku moja kupita mbele ya mchungaji bila kumupatia heshima zake, hata kama anavala mubaya.
Vous devriez passer les moindres moments qu'il vous reste avec vos amis.	Muda kidogo yenye unabakia nayo unapashwa ipitisha na marafiki zako.	Muda kidogo yenye unabakia nayo unapashwa ipitisha na marafiki zako.
Vous serez toujours la bienvenue.	Utakaribishwa siku zote.	Utakaribishwa siku zote.
À présent l'ombre d'un doute lui assombrissait le visage.	Kwa sasa mashaka inaonekana ku sura yake.	Kwa sasa mashaka inaonekana ku sura yake.
L’amour est l’histoire de la vie des femmes, c’est un épisode dans la vie des hommes.	Mapenzi ni hadisi ya maisha ya wanawake, ni kipindi mu maisha ya wanaume.	Mapenzi ni hadisi ya maisha ya wanawake, ni kipindi mu maisha ya wanaume.
Le directeur a signé et cacheté votre contrat d'assurance.	Kiongozi alisaini na kutia muhuri (cachet) ku contrat yako ya assurance.	Kiongozi alisaini na kutia muhuri ku contrat yako ya assurance.
Malheureusement, la recette du pain « Susie » est un secret bien gardé par Susanne.	Kwa bahati mubaya, mapishi ya mkate « Susie » ni siri inayo fichwa na Susanne.	Kwa bahati mubaya, mapishi ya mkate « Susie » ni siri inayo fichwa na Susanne.
Ils voulaient juste me poser quelques questions.	Alikuwa nataka tu kuniuliza maswali kidogo.	Alikuwa nataka tu kuniuliza maswali kidogo.
J'ai longuement réfléchi si je devais réagir, et j'ai finalement décidé de faire quelque chose.	Nilifikiria kwa muda mrefu kama ningepashwa fanya kitu yoyote, na nikaamua nifanye kitu fulani.	Nilifikiria kwa muda mrefu kama ningepashwa fanya kitu yoyote, na nikaamua nifanye kitu fulani.
Combien de temps penses-tu que le jury prendra avant d'arriver à un verdict ?	Unawaza baraza ya majaji (jury) itakamati muda gani mbele kukamata maamuzi ?	Unawaza baraza ya majaji itakamati muda gani mbele kukamata maamuzi ?
Les araignées attendent que des insectes se prennent dans des toiles. C'est ainsi qu'elles se procurent de la nourriture.	Buibui zinangoyaka vididu vikamatike mu mitego yazo. Iyi njo namna zinapataka chakula.	Buibui zinangoyaka vididu vikamatike mu mitego yazo. Iyi njo namna zinapataka chakula.
Il est déconseillé d'utiliser ce produit à une température inférieure à zéro.	Inakataziwa kutumikisha iyi dawa mu température ya chini ya sifuri.	Inakataziwa kutumikisha iyi dawa mu température ya chini ya sifuri.
Dites clairement ce que vous voulez, estimé collègue!	Niambie wazi unataka nini, collégue mupendwa!	Niambie wazi unataka nini, collégue mupendwa!
Il va libérer les prisonniers.	Atafungula wafungwa.	Atafungula wafungwa.
Ce qui paraissait être une plage de sable blanc étaient, en réalité, des millions et des millions de petits coquillages blancs.	Iliyo kuwa nafanana plage ya muchanga ya mweupe, kwa kweli, ilikuwa ma elfu na ma elfu ya coquilles kidogo kidogo za mweupe.	Iliyo kuwa nafanana plage ya muchanga ya mweupe, kwa kweli, ilikuwa ma elfu na ma elfu ya coquilles kidogo kidogo za mweupe.
Le personnel craint de nouvelles suppressions de postes.	Wafanyakazi wanaogopa kuvutwa kwa kazi zingine tena.	Wafanyakazi wanaogopa kuvutwa kwa kazi zingine tena.
Il est évident que ce qu'elle dit est faux.	Inaonekana wazi kama anacho sema ni uongo.	Inaonekana wazi kama anacho sema ni uongo.
Dan cohabitait avec Matt.	Dan alikuwa naishi na Matt.	Dan alikuwa naishi na Matt.
Une taxe spéciale est prélevée sur les très hauts revenus.	Ushuru isiyo kuwa ya kawaida inalipwa na wenye kuwa na pato kubwa.	Ushuru isiyo kuwa ya kawaida inalipwa na wenye kuwa na pato kubwa.
Quel est le titre du film que tu aimes le plus ?	Titre ya film gani njo unapendaka zaidi?	Titre ya film gani njo unapendaka zaidi?
Le prix des carottes va exploser cet hiver du fait de la sécheresse.	Bei ya carottes itapanda sana iyi msimu (saison) ya hiver kwa sababu ya udongo kukauka.	Bei ya carottes itapanda sana iyi msimu ya hiver kwa sababu ya udongo kukauka.
L'usine nous paye le déjeuner.	Kiwanda inatuuziaka chakula ya mchana.	Kiwanda inatuuziaka chakula ya mchana.
« Allo oui, la maison Dupuignant, bonjour, que puis-je faire pour vous ? »	« Allo ndio, nyumba Dupuignant, jambo, ndaweza kuwasaidia na nini? »	« Allo ndio, nyumba Dupuignant, jambo, ndaweza kuwasaidia na nini? »
Ne revenez jamais !	Usirudiake tena!	Usirudiake tena!
Quelle sorte de logique est-ce donc : on a toujours tort jusqu'à ce que la justesse soit établie ?	Iyi ni mawazo gani kabisa : mtu anakuwaka na kosa mpaka sheria iamue?	Iyi ni mawazo gani kabisa : mtu anakuwaka na kosa mpaka sheria iamue?
Théo, Maria, John et Alice se rendirent tous au parc pour monter sur le manège.	Théo, Maria, John na Alice walienda wote kwenye mbuga ya wanyama kwa kujifurahisha.	Théo, Maria, John na Alice walienda wote kwenye mbuga ya wanyama kwa kujifurahisha.
Y a-t-il également en Égypte de toutes petites pyramides pour les pauvres ?	Je! Huko Misri kunakuwaka pia pyramides za wamaskini?	Je! Huko Misri kunakuwaka pia pyramides za wamaskini?
J'ai tenu compte de ce qu'il disait.	Nilizingatia alicho kuwa nasema.	Nilizingatia alicho kuwa nasema.
La famille a quitté son Allemagne natale pour s'installer à Chicago vers 1930.	Jamaa ilitoka Ujeremani kwenye ilizaliwa na kwenda kuishi Chicago mnamo mwaka wa 1930.	Jamaa ilitoka Ujeremani kwenye ilizaliwa na kwenda kuishi Chicago mnamo mwaka wa 1930.
C'était incroyable de voir à quelle vitesse l'enfant grandissait.	Ilikuwa mambo ya kushangaza kuona gisi mtoto alikuwa nakomala mbio mbio sana.	Ilikuwa mambo ya kushangaza kuona gisi mtoto alikuwa nakomala mbio mbio sana.
Sami n'a jamais voulu d'un divorce.	Sami hajawahi taka talaka (divorce).	Sami hajawahi taka talaka.
Il y a eu de nombreux meurtres, l'année dernière.	Kulikuwa mauaji mingi, mwaka jana.	Kulikuwa mauaji mingi, mwaka jana.
Les personnes créatives tendent à poser les meilleures questions et ils obtiennent ainsi les meilleures réponses.	Watu wabunifu (esprit créatif) wanapendaka kuuliza maswali ya maana na kwa hivyo wanapataka majibu bora.	Watu wabunifu wanapendaka kuuliza maswali ya maana na kwa hivyo wanapataka majibu bora.
Sa fièvre est redescendue à la normale.	Homa yake ilishashuka ku kawaida.	Homa yake ilishashuka ku kawaida.
Je me sens plus alerte après avoir bu une tasse de café.	Nabakiaka macho wazi nikisha kunywa kikombe ya kahawa.	Nabakiaka macho wazi nikisha kunywa kikombe ya kahawa.
Je m'efforce de devenir modèle et je sais que je dois réduire mon poids afin qu'on me prenne pour une candidate sérieuse.	Nijitahidi kukuwa mfano muzuri na minajuwa kama minapashwa punguza bilo (bunene) yangu kusudi wanikamate sawa mushiriki (candidate) muzuri.	Nijitahidi kukuwa mfano muzuri na minajuwa kama minapashwa punguza bilo yangu kusudi wanikamate sawa mushiriki muzuri.
Les Étasuniens fêtent la mort d'Osama ben Laden.	Wamarekani wanasherekea kifo cha Osama Ben Laden.	Wamarekani wanasherekea kifo cha Osama Ben Laden.
Le couple mit sa maison en vente.	Wanandoa walitia bei ku nyumba yao.	Wanandoa walitia bei ku nyumba yao.
Ayez une vision et appliquez la avec motivation et persuasion.	Ukuwe na shabaa na uitumikishe na juhudi na kujiaminia.	Ukuwe na shabaa na uitumikishe na juhudi na kujiaminia.
Tu es génial.	Uko mtu muzuri sana.	Uko mtu muzuri sana.
«Les limites de ma jachère sont les limites de mon champ», disait Louis le fermier.	« Mipaka ya mboleo yangu njo mipaka ya shamba yangu » alisema Louis le fermier.	« Mipaka ya mboleo yangu njo mipaka ya shamba yangu » alisema Louis le fermier.
Devine, si tu peux ; et choisis, si tu l'oses.	Waza, kama unaweza, na uchagule, kama unaijaribu.	Waza, kama unaweza, na uchagule, kama unaijaribu.
Louis prit la fuite et galopa par nuit et brouillard en direction de Berlin.	Louis alikimbia na kutembea mbio mbio usiku yote na mawingu kuelekea Berlin.	Louis alikimbia na kutembea mbio mbio usiku yote na mawingu kuelekea Berlin.
Il annonce qu'il partira plus tard.	Anasema kama ataenda baadaye.	Anasema kama ataenda baadaye.
Cesse d'être idiote !	Acha upumbafu!	Acha upumbafu!
Nous savons que c'est toi qui as brisé la fenêtre.	Tunajua kama weye njo ulivunja dirisha.	Tunajua kama weye njo ulivunja dirisha.
Il a raconté une histoire drôle.	Alieleza hadisi ya kuchekesha.	Alieleza hadisi ya kuchekesha.
Je ne supporte pas les bébés qui pleurent.	Sivumiliaki batoto ba kupenda kulialia.	Sivumiliaki batoto ba kupenda kulialia.
Ce contrat prend effet à partir de minuit.	Iyi makubaliano itaanza tumika kuanzia saa sita za usiku.	Iyi makubaliano itaanza tumika kuanzia saa sita za usiku.
J'ai demandé à mon prof ce que je devrais faire ensuite.	Niliuliza mwalimu wangu nini cha kufanya baadaye.	Niliuliza mwalimu wangu nini cha kufanya baadaye.
Au milieu de chaque difficulté se cache une opportunité.	Bahati inajifichaka katikati ya kila magumu.	Bahati inajifichaka katikati ya kila magumu.
Il lui répond tout de go.	Anamujibia mara moja.	Anamujibia mara moja.
Sami et Layla voulaient une escapade romantique en Egypte.	Sami na Layla walikuwa nataka kwenda mu matembezi ya wapendanao kule Misri.	Sami na Layla walikuwa nataka kwenda mu matembezi ya wapendanao kule Misri.
La température a été en dessous de zéro depuis de nombreux jours maintenant.	Hali ya kifukutu (température) ilikuwa chini ya sifuri tangu siku nyingi sasa.	Hali ya kifukutu ilikuwa chini ya sifuri tangu siku nyingi sasa.
C'est Mme Lee, la mère de Susan, à Londres.	Ni Bibi Lee, mama yake na Susan, pa Londres.	Ni Bibi Lee, mama yake na Susan, pa Londres.
Il est appelé Jeff par tout le monde.	Batu yote banamuitaka Jeff.	Batu yote banamuitaka Jeff.
Je réfléchis à mettre ma maison en vente.	Niko nafikiri gisi ya kuuzisha nyumba yangu.	Niko nafikiri gisi ya kuuzisha nyumba yangu.
Il a trouvé l'expérience plaisante.	Aliona ile uzoefu ni ya kufurahisha.	Aliona ile uzoefu ni ya kufurahisha.
Elle est celle qui a pris soin de sa blessure.	Ni yepeke njo alishurulikia afya yake wakati alivunjika.	Ni yepeke njo alishurulikia afya yake wakati alivunjika.
Nous sommes allés faire du tir aux pigeons.	Tulienda winda ma ndege za pigeons.	Tulienda winda ma ndege za pigeons.
Le traducteur spécialisé du texte répond à un besoin avec ses services.	Mtafsiri mtalaamu (traducteur spécialisé) wa maandiko anajibia hitaji kwa kazi yake.	Mtafsiri mtalaamu wa maandiko anajibia hitaji kwa kazi yake.
Est-ce que vous vous souvenez ?	Je! Unakumbuka?	Je! Unakumbuka?
Reculez !	Rudia nyuma!	Rudia nyuma!
Vous devriez dire ce que vous pensez.	Unapashwa sema kitu yenye unawaza.	Unapashwa sema kitu yenye unawaza.
Elle achète l'ordinateur.	Anauza ordinateur.	Anauza ordinateur.
Chaque fois que la science avance d'un pas, c'est qu'un imbécile la pousse, sans faire exprès.	Kila wakati sayansi inapiga hatua moja mbele, inamaanisha kwamba piko mjinga mwenye anaisukuma, bila kufanya kwa utashi.	Kila wakati sayansi inapiga hatua moja mbele, inamaanisha kwamba piko mjinga mwenye anaisukuma, bila kufanya kwa utashi.
Un discours vrai est désagréable, un discours agréable est faux.	Hotuba ya kweli inaletaka mauzi, hotuba nzuri inakuwaka ya bongo.	Hotuba ya kweli inaletaka mauzi, hotuba nzuri inakuwaka ya bongo.
Que cela cesse, enfin !	Iyi jambo inapashwa isha, sasa!	Iyi jambo inapashwa isha, sasa!
Pourquoi es-tu rentrée aussi tard à la maison ?	Juu ya nini ulirudia ku nyumba nyuma sana?	Juu ya nini ulirudia ku nyumba nyuma sana?
Je ne bosse pas pour que tu puisses passer la journée à coincer la bulle !	Situmikaki juu weye ukuwe napitisha siku muzima unapumuzika!	Situmikaki juu weye ukuwe napitisha siku muzima unapumuzika!
J'ai sûrement oublié mon parapluie dans le bus.	Nilisahabu mwanvuli yangu mu bisi.	Nilisahabu mwanvuli yangu mu bisi.
Il faut avoir de sacrées couilles pour arborer un drapeau ukrainien au haut d'un immeuble moscovite ! Chapeau !	Inaomba juhudi mingi juu ya kupeperusha bendera ya Ukraine yulu ya jengo mjini Mosku (Moscou)! Kofia!	Inaomba juhudi mingi juu ya kupeperusha bendera ya Ukraine yulu ya jengo mjini Mosku! Kofia!
Pérenniser une agriculture paysanne et de qualité, en structurant les circuits courts pour le bio comme pour l'agriculture conventionnelle, en direction de la restauration collective comme des particuliers (structuration et soutien aux AMAP).	Kudimisha kilimo ya kijijini na bora, kwa kupanga mfumo ya ugawaji (production) kati ya mutumiaji na mkulima wa kilimo ya asili na kilimo ya kisasa, katika lengo ya kurudisha ushirikiano kama watu binafsi (muundo na msaada kwa AMAP).	Kudimisha kilimo ya kijijini na bora, kwa kupanga mfumo ya ugawaji kati ya mutumiaji na mkulima wa kilimo ya asili na kilimo ya kisasa, katika lengo ya kurudisha ushirikiano kama watu binafsi.
Continue à avancer !	Endelea nasogea mbele!	Endelea nasogea mbele!
Je n'ai pas pu sortir de mon garage parce qu'il y avait une voiture en travers du chemin.	Sikuweza kutoka mu garage yangu juu palikuwa gari mu njia.	Sikuweza kutoka mu garage yangu juu palikuwa gari mu njia.
Ton ordinateur est infecté par un virus.	Ordinateur yako iko na virusi.	Ordinateur yako iko na virusi.
Ce ne ressemble pas à un bon endroit pour des bonnes affaires.	Haifanani fasi ya mzuri kwa kufanyia biashara.	Haifanani fasi ya mzuri kwa kufanyia biashara.
En dépit de la protection du gouvernement, il fut la victime d'une tentative d'assassinat qui le tua.	Hata kama kulikuwa ukingo wa serkali, alikuwa muhanga wa jaribio ya mauaji yenye ilimuuwa.	Hata kama kulikuwa ukingo wa serkali, alikuwa muhanga wa jaribio ya mauaji yenye ilimuuwa.
Seigneur, c'est délicieux !	Mungu wangu, iko butamu!	Mungu wangu, iko butamu!
Je suis horrible avec les gamins.	Sipendaki watoto wachanga.	Sipendaki watoto wachanga.
Ma mère disait souvent qu'elle était fière de moi.	Mara mingi mama yangu alikuwaka nasema kama anajivunia kuwa na mtoto sawa miye.	Mara mingi mama yangu alikuwaka nasema kama anajivunia kuwa na mtoto sawa miye.
Tous mes amis m'ont tourné le dos.	Barafiki yangu yote baliniachililia.	Barafiki yangu yote baliniachililia.
J'étais nerveuse comme une puce.	Nilikuwa nasirika sawa chawa.	Nilikuwa nasirika sawa chawa.
T'es super canon.	Uko mrembo sana.	Uko mrembo sana.
Je l'ai rencontrée tard dans la soirée.	Nilikutanana naye mangaribi sana.	Nilikutanana naye mangaribi sana.
Les soldes se terminent ? Les bonnes affaires prennent le relais !	Soldes zinaisha? Biashara ya muzuri inafuata!	Soldes zinaisha? Biashara ya muzuri inafuata!
Le jardin qui entoure mon humble demeure n’est séparé que par un sentier de Rosings Park, résidence de Sa Grâce.	Njia ya Rosings Park njo inakata mpaka kati ya bustani yenye inazunguruka makao yangu ya kawaida na makao ya Sa Grâce.	Njia ya Rosings Park njo inakata mpaka kati ya bustani yenye inazunguruka makao yangu ya kawaida na makao ya Sa Grâce.
Chéri !	Mpenzi!	Mpenzi!
« Ça ne me dérange pas de continuer à bosser après le mariage. » dit-elle.	« Hainiuzi kuendelea natumika kisha ndoa.» anasema.	« Hainiuzi kuendelea natumika kisha ndoa.» anasema.
