fra	lin
Il marmonnait encore quelque chose concernant les hôpitaux à la fin de la fête, quand il a glissé sur un morceau de glace et s'est brisé la jambe gauche.	Azalaki koloba na kati ya monoko makambo matali mapitalo na nsima ya feti, ntango aselimwi na galási mpe abukani lokolo na ye ya mwasi.
À droite se trouve un champ d'orge, tandis qu'à gauche se trouve un champ de blé.	Na loboko ya mobali ezali elanga ya orje, mpe na loboko ya mwasi ezali elanga ya ble.
Le procureur m'appela également en tant que témoin.	Nzuzi mokonzi abengaki ngai mpe lokola nzeneneke.
Le premier symptôme de l'acculturation est de penser que la langue de l'autre est plus cool. La conclusion inévitable est la disparition de ta langue.	Elembo ya liboso oyo etalisaka ete moto abungisi bonkoko na ye ezali kokanisa ete nkota ya baninga ezali malamu koleka oyo ya ye. Suka na yango ezali nkota na yo ekolimua.
Es-tu sûre de ne pas vouloir attendre jusqu'à demain ?	Okoki penza kozela kino lobi te?
Faites-moi confiance : la réponse à cette question, je ne la connais pas, mais j'y réfléchis.	Ndimela ngai : nazali na eyano na motuna wana te, kasi nazali koluka yango.
Les fiançailles de M. Rogers et de Mlle. Smith ont été annoncées hier.	Bukueli ya M. Rogers mpe ya Mlle. Smith epesamaki lobi eleki.
C'était romantique de marcher au clair de lune.	Ezalaki lolango kotambola na nse ya pole ya sanza.
Il a donné un faux nom et une fausse adresse à la police.	Apesaki nkombo mpe adresi ya lokuta na bapolisi.
Top secret !	Sekele ya likolo !
Le couteau était si émoussé que je ne pus couper la viande avec et je dus recourir à mon couteau de poche.	Mbeli yango ezalaki na mino ata mokie te mpe ekokaki kokata ngombe te yango wana nasalelaki mbeli ya ngai moko ya poshe.
Je suis navrée, je n'ai pas pu t'écrire plus tôt.	Bolimbisi, nazui makoki ya kokomela yo kaka sikoyo.
Wow! Quelle merveilleuse idée.	Kitoko ! Likanisi moko malamu.
Quoi qu'il puisse arriver, tu ne dois pas oublier de sourire.	Na nyonso okokaki kobosana koseka te.
Voici encore dix coups pour toi, maudit salopard, pour avoir chié sur mon parterre de fleurs !	Zua lisusu bafimbo 10, nyama, mpo osumbi likolo ya bofolo na ngai !
Maxime vit Marthe attendre à l'arrêt de bus.	Maxime amonaki Marthe azalaki kozela na esika oyo bazelaka bus.
Sors tout de suite.	Bima sikasik'oyo.
Si F est un sous-espace vectoriel de dimension finie d'un espace préhilbertien réel E, alors F et F orthogonal sont supplémentaires.	Soki F ezali sous-espace vestoriel ya etando ya suka ya espace prehilbertien reel E, F and F orthogonal bazali supplementaire.
Chacun est une Lune et possède une face cachée qu'il ne montre à personne.	Moto nyonso azali sanja, azalaka na elongi moko alakisaka bato te.
Paul est une personne tellement plaisante que tout le monde l'aime de suite.	Paul azali moto malamu yango wana bato banso balingaka ye mbala moko.
C’est une fille très grande ; elle porte un sweat blanc et un T-shirt bleu. Elle a aussi un pantalon à rayures plutôt joli et des baskets.	Azali muana muasi moko molayi makasi. Alati sweat ya pembe na t-shirt ya bule. Azali mpe na patalo ya banzela-nzela ya kitoko na babasketi.
"""Chéri, viens te coucher."" ""Non, pas tout de suite. Je dois encore traduire quelques phrases sur Tatoeba."""	"""Cheri, yaka olala."" ""Te, sikoyo te. Esengeli nalimbola nanu mua ndambo ya bafraze na Tatoeba""."
Désolé de ne pas avoir répondu plus tôt à ton message, j'étais occupé.	Bolimbisa, nazalaki na mosala yango wana nayanolaki na mesaje na yo mbala moko te.
Aucun de nous n'avait la moindre idée de ce qui allait arriver.	Moko te kati na biso ayebaki nini elingaki esalema.
Vous devez arriver à midi.	Esengeli bokoma na midi.
Je n'ai jamais compris cette volonté de vouloir constituer coûte que coûte des classes mixtes.	Natikala kososola te esika posa wana ya kosangisa bana basi na mobali na bakelasi moko ewuta.
Daniel a obtenu un bon emploi.	Daniel azui mosala ya malamu.
Vous ne vous souvenez plus où vous avez mis votre clé.	Obosani esika otiki fungola na yo?
J'aurai une rencontre avec le professeur à une heure et demi.	Nakokutana na mosakisi na ngonga zomi na misato na ndambo.
Hmm ! Oui, j'y crois.	Hmm ! Iyo, nandimi yango.
Ne reculez pas !	Kozonga sima te !
Mathis n'a pas amené ses clés.	Mathis amemi bafungola na ye te.
Lorsqu'on a pénétré le fond des choses, la perte des illusions amène la mort de l'âme, c'est-à-dire un désintéressement complet sur tout ce qui touche et occupe les autres hommes.	kokoti na mozindo ya makambo, efungolaka miso mpe ebomaka bomoto. Nyonso oyo etali baninga ekomaka pamba.
Ils sont actuellement en train de l'amener pour lui poser des questions.	Bazali komema ye mpo batuna ye mituna.
Grâce à ton aide, j'ai pu enfin venir à bout du démon du jeu.	Na lisungi na yo, nakokaki kolonga molimo mabe ya lisano.
Je ne peux pas dire que M. Kelly ait vécu une vie de saint.	Nakoki koloba te papa Kelly azalaki na bomoyi ya basantu.
J'espère que vous ne direz à personne que vous m'avez vu sortir de cette maison.	Nabanzi bokoyebisa moto te bomoni ngai kobima na ndako oyo.
Sur son char aussitôt la brillante déesse / revole vers Paphos, lieux charmants où sans cesse / l'encens le plus parfait, les plus nouvelles fleurs / embaument cent autels de leurs douces odeurs.	Likolo ya likalo na ye, na mbala moko nzambe-muasi ya mayele /apumbaki na Paphos, bisika kitoko / malasi ya kitoko koleka nyonso, bafololo ya sika koleka / bitondisi etumbelo na malasi kitoko.
Cependant le vent tombe et meurt avec le jour. / Des Cyclopes cruels j'aborde le séjour : / je l'ignorais.	Mopepe ekueyaka mpe ekufaka na mokolo. /Na bacyclopi ya mabe nakobanda mobembo: / nayebaki te.
Appelles moi quand tu seras arrivé.	Benga ngai ntango okokoma.
Nous sommes obligés de considérer comme fous beaucoup de nos esprits originaux — au moins jusqu'à ce que nous soyons devenus aussi malins qu'eux.	Esengeli totala milimo na biso ma ebandeli lokola maboma - kino tokoma na mayele mabe lokola bango.
Le directeur de la recherche fit faire au département un travail complet de test du nouveau produit.	Mokambi ya mabi ma boluki atindaki departement na ye esala batesti nyonso ya produit ya sika bazali kobimisa.
Suppose que tu t'y sois rendu et qu'elle ne s'y soit pas trouvée et qu'en plus il ait plu.	Banza soki okendaki kuna, omoni ye kuna te mpe mvula ebeti lisusu.
Un chasseur tire sur un lièvre et le rate d'un mètre à gauche, puis d'un mètre à droite. Statistiquement, le lièvre est mort.	Mobomi-nyama abetaki mandoki na simbiliki kasi elekaki metele moko na loboko ya muasi , mpe metele moko na loboko ya mobali ya nyama. Kolandisa bastatistiki, simbiliki akufi.
Les belles femmes sont à la fois le paradis et l'enfer.	Basi ya kitoko bazali paladisio mpe lifelo.
Elle a refusé son offre de soutien.	Aboyi lisungi na ye.
Il rentra à la maison en passant par Hong Kong.	Azongaki ndako koleka na nzela ya Hong Kong.
Écoutez, si vous voulez.	Boyoka, soki bolingi.
Bonsoir, mon trésor ! Que je suis content d'être enfin à la maison !	Mbote, molongani na ngai ! Esengo etondi ngai kozonga na ndako !
Au bout de quelques minutes, elle coula un regard vers la porte, comme attirée par ce courant d'amour, et ses yeux, sans hésiter, se plongèrent dans les yeux de Rodolphe.	Sima baminiti mokie, abuakaki miso na ekuke, lokola abendamaki na courant ya bolingo. Mbala moko miso ma ye  mazindaki kati ya miso ma Rodolphe.
Théo est couché sur le canapé à regarder la télé.	Théo atandi nzoto na kanape mpe azali kolanda TV.
Vous ne devez pas couper les cheveux tout de suite.	Esengeli te kokata suki sikasika oyo.
Ma clé USB contient un virus.	Fungola USB na ngai ezali na virus.
Je suis content que tu n'aies pas appelé Hugo.	Nasepeli lolenge obengi Hugo te.
Tu auras beaucoup de cadeaux pour ton anniversaire.	Okozua makabo ya ndenge na ndenge mpona mbotama na yo.
Nous devrions demander à Kylia de revenir.	Esengeli tobenga Kylia azonga.
Les gendarmes arabes algériens ont tiré à balles réelles sur des jeunes manifestants kabyles qui étaient pacifiques. Ils ont tué 128 jeunes kabyles et ont handicapé des milliers de kabyles à vie.	Bajendarme arabe ma Algeri babeti masasi na bilenge ma kabyle oyo bazalaki ata na mandoki te kasi babimaki na balabala koyokisa mongongo na bango. Babomi bilenge 128 ma kabyle mpe babuki maboko na makolo ya bato nkoto na nkoto kati ya bana ma Kabyle.
Êtes-vous au courant que votre nom a été prononcé lors d'un procès contre le gouvernement fédéral ?	Oyebi ete nkombo na yo etangamaki na procès na gouvernement federal?
Lors de la première guerre mondiale, « Anne of Green Gables » fut distribué par le gouvernement polonais aux troupes dans les tranchées pour leur rappeler pourquoi ils se battaient.	Na ntango ya Etumba ya liboso ya mokili mobimba, gouvernement ya Poloni ekabolaki « Anne of Green Gables » na basoda oyo bazalaki na etumba mpona babosana te tina ya etumba bazalaki kobunda.
Il ne montre aucun intérêt pour la science.	Azali kolakisa bolingi mpona siansi ata mokie te.
Notre chat regardait des gamins s'amuser dans la rue.	Kondoko na biso azalaki kotala bana mikie kosakana na balabala.
Stephen Colbert est un type plutôt délirant.	Stephen Colbert azali penza moto ya liboma.
Une bagarre a opposé les ouvriers à des agents de sécurité.	Bitumba esamaki kati ya basali na bapulusi.
Tu es folle de te coltiner un va-nu-pieds pareil, ma puce!	Moninga nangai, ozali liboma ku linga likambo ya ndenge oyo!
La crosse d'une carabine américaine est une arme aussi dangereuse que le canon lui-même, surtout lorsqu'elle est maniée par un bras puissant.	Crosse ya mibundi ya Amerika ezali manduki ya makasi ete manduki oyo nyoso, soki ezali na maboko ya makasi penza.
Sa Majesté attend.	Mokolo ya ekolo azozela.
J’ai toujours cru que les étudiants en médecine étaient des gens vaillants et très occupés. Jusqu’à ce que je te rencontre.	Nakoki kokanisa ete ma landami ya medecine bazalaka batu ya bwanya mpe bazalaka namisala ebele. Na mtango nako kutana nayo.
Celui qui lui rend visite, doit être préparé à entendre des reproches, souvent bruyants, ou à se voir affecter quelque tâche.	Moto oyo aye kosunga ye, esengeli ayeba ke akozua bareproche, mpe akopesama makambo yakosala.
On se voit au nouvel an.	Tokomonana na sanza akoya.
Ensuite Hamilcar fit sortir une galère armée d’une catapulte à chaque bout.	Nasuka Hamilcar abimisaki minduki ya liboma na tango nyoso.
C'est un type méchant.	Azali moto ya makasi.
Les scientifiques continuent de découvrir de nouveaux médicaments, il y a donc toujours de l'espoir pour les personnes dans le coma.	Banamayele bazali ko sosola bamedikama, tozali na makanisi pona batu oyo baza na coma.
Lis la rubrique des annonces si tu cherches un boulot.	Landa ba mitu ya baanonce soki ozoluka mosala.
Aucun grand artiste ne voit jamais les choses telles qu'elles sont vraiment. S'il le faisait, il cesserait d'être un artiste.	Artiste ya makasi amonaka makambo te ndeke ezali. Soki asali yango, akosila kozala artiste.
Je suis tombé dans un nid d’euro-collabos qui ne savent pas ce que l’Europe cache. Intelligents, mais pas malins.	Namibiki na lulu ya bacolabo oyo bayebi te ndenge Europe esalaka. Bana mayele, mte ya mitu te.
On vit plus longtemps, et c'est tant mieux, mais c'est pas pour bosser plus !	Tozo bwele makasi, eza malamu, mte azali ko bosser mingi te!
Le lendemain de sa première sortie avec Luca, Marie fut dans la lune toute la journée. Elle ne fut pas du tout attentive en classe et n’eut pas d’appétit.	Nalobi ya sorti naye na Luca, Marie azalaki na lune na journe nyoso. Azalaki kosimbia te na kilasi mpe azali na apeti te.
Tout le monde aurait voulu qu'il soit élu gouverneur.	Moto nyoso alingaki abonama mokonzi ya province.
Vous étiez toujours très gentille.	Ozalaka kaka mwana ya kimia.
Chut ! Je dors !	Chut! Nalali!
Dites à quiconque se présente que je suis sorti !	Yebisa moto nyoso akoya awa ete nakei libanda!
Il passait son temps au café à suivre du regard les passantes.	Alikisaka tango naye na cafe kotala bana mwasi oyo bazoleka.
J'ai entendu un bruit bizarre venant du garage.	Nayoki makelele ya mabe koyaka na garage.
N'oublions pas d'accélérer la mutation des gares en carrefour de l'intermodalité, lieux de communication, d'échange et de citoyenneté.	Kokanisa ko accelerer milindo ya basolokoto te na intermodalite, epai ya comunikasion, ya eshange mpe ya bwana mboka.
Tu donnes l'impression que c'est très simple.	Ozali kosala neti ezali pete makasi te.
Je commençai à douter de l'exactitude de sa déposition.	Nakomaki komituna soki maloba alobaki ezali penza solosolo.
Je suis désolé, je ne te reconnais pas.	Bolimbisi, nazali koyeba yo lisusu te.
Si vous vous trouvez dans les sables mouvants, vous vous enfoncerez plus lentement si vous ne bougez pas.	Soki ozali na bugulo yako tambola, okozika makasi soko ozo bouger te.
Il s'en fout comme de l'an quarante.	Azali na ye kuna ata mokie te.
Arrêtez d'être aussi attardés, bordel !	Botika mpe bozuba wana, ko !
Tu demandais des comptes à tes employés.	Ozalaki kosenga mbongo epa yaba sala nayo.
"""Tu es là pour suivre mes ordres."" ""Dans tes rêves, mon pote !"""	"""Ozali wana ko landa makanisi na ngai."" ""Na ndoto nayo, moninga nangai !"""
Quelles sont les conclusions que vous pouvez dégager de ces tests ?	Misuki nini oyo okoki kosala na test oyo?
L'argument le plus stupide que j'ai entendu quant à la prétendue désuétude du passé simple est : « Personne ne parle comme ça. »	"Makanisi oyo ya liboma nayoki na mikiko ya tango oyo eleki eza ""moto alobaka na ndenge wana te. »"
« Les Écossais disent non à la séparation de l'Empire Britannique ». C'est le résultat d'un sondage d'opinion effectué le jour du vote.	"""Baekose balobi te na bokabwani ya Empire Britannique"". Ezali makoki ya sondage ya batu oyo esalami na mokolo ya boponani."
Pour être un astronome, on a besoin d'étudier, mais pour être un astrologue, il suffit juste d'être un raté et un grand menteur.	Kozala astronome, esengeli otanga, kasi kozala astrologue, esengeli ozala mwana mayele te mpe molobi ya lukuta.
Si un jour les nombreuses langues européennes viennent à disparaître, ce jour-là l’Europe – en tant que concept et projet – cessera d’exister.	Soki mokolo moko na maloba ya ba mindele epukani, na mokolo wana – eyo kaka makanisi mpe projet – ekosila ko exister.
Je n'ai rien compris aux quatrièmes de couverture, c'est pour ça que je lis.	Na komprendre eloko moko te na quatrieme couverture, nakanisi ete nazotanga.
Il a attrapé la balle avec sa main gauche.	Azuhaki balle na maboko naye ya likuani.
Si vous aviez suivi les conseils de vos médecins, vous ne seriez peut-être pas dans cet état.	Soki olandaki ba conseils ya ba medecins nayo, okokaki kozala na eta wana.
La fortune s'est tournée contre lui.	Mbongo ezongelaki ye te.
Cet article aurait pu être fabriqué à un prix concurrentiel l'an passé, mais ce n'est plus possible.	Mokanda wana esengeli esalama na prix concurntiel sanza eleki, nano ekoki kosalama te.
Ce n'est que depuis hier que j'ai entendu les infos.	Kaka ezalaki lobi nayokaki sango wana.
Tes nouveaux amis pourraient se moquer de certains de tes agissements.	Baninga nayo ya sika bakoki koseka masali nayo.
Si vous voulez oublier n'importe quoi sur le champ, prenez note de vous en souvenir.	Soki okanisi te likambo nyoso na ngonga oyo, sala nyoso ose rapele nakambo wana.
Mieux vaut nourrir un peuple que de le satisfaire de belles paroles.	Ya malamu eza kolisa banamboka ete ko lisa ye na maloba ya malamu.
J'espère qu'Emi ne va plus tarder. Je suis las de l'attendre.	Nakanisi ete Emi ako tarder te. Nazali awa kozela ye.
